componentid;status;model;qtype;difficulty;discrimination;guessing;label;catscalename;parentscalenames;componentname;json
"0";4;raschbirnbaum;multianswer;-5.81;"0.40";;MA.v1.A01-01;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-4.08;"0.85";;MA.v1.A01-02;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-4.06;"0.84";;MA.v1.A01-03;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-3.81;1.06;;MA.v1.A01-04;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-3.68;"0.87";;MA.v1.A01-05;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multichoice;-3.52;"0.85";;MA.v1.A01-06;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multichoice;-3.48;"0.67";;MA.v1.A01-07;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multichoice;-3.26;"1.10";;MA.v1.A01-08;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-2.02;"0.94";;MA.v1.A01-09;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multichoice;-1.87;"0.82";;MA.v1.A01-10;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-1.71;"0.82";;MA.v1.A01-11;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-1.16;"1.50";;MA.v1.A01-12;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;rasch;multianswer;"-5.00";"0.00";;MA.p1.A01-01;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A01-01;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A01-02;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A01-03;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A01-04;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A01-05;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A01-06;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A01-07;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A01-08;Ma-A01: Grundrechenarten Punkt- und Strichrechnung;ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-5.04;"0.67";;MA.v1.A02-01;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multichoice;-6.76;"0.42";;MA.v1.A02-02;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-4.47;"0.91";;MA.v1.A02-03;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;truefalse;-4.45;"0.70";;MA.v1.A02-04;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-4.28;"0.73";;MA.v1.A02-05;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-2.57;"0.85";;MA.v1.A02-06;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multichoice;-3.13;2.19;;MA.v1.A02-07;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-2.94;"0.95";;MA.v1.A02-08;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multichoice;-2.72;1.21;;MA.v1.A02-09;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-1.74;"0.89";;MA.v1.A02-10;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-0.34;"1.70";;MA.v1.A02-11;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multichoice;1.47;"0.48";;MA.v1.A02-12;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multichoice;1.52;1.17;;MA.v1.A02-13;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;rasch;multichoice;"-5.00";"0.00";;MA.p1.A02-01;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-01;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-02;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-03;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-04;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-05;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-06;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-07;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-08;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-09;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-10;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-11;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-12;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-13;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-14;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-15;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-17;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-18;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-19;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-20;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";"0";"";numerical;;;;MA.b.A02-21;"Ma-A02: Rechnen mit Klammern, Prioritäten der Operatoren";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;truefalse;"-10.00";"0.34";;MA.v1.A03-01;"Ma-A03: Assoziativ-, Kommutativ- und Distributivgesetz anwenden (geschicktes Rechnen)";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-5.65;"0.37";;MA.v1.A03-02;"Ma-A03: Assoziativ-, Kommutativ- und Distributivgesetz anwenden (geschicktes Rechnen)";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;truefalse;-5.63;"0.66";;MA.v1.A03-03;"Ma-A03: Assoziativ-, Kommutativ- und Distributivgesetz anwenden (geschicktes Rechnen)";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;truefalse;-3.76;"0.81";;MA.v1.A03-04;"Ma-A03: Assoziativ-, Kommutativ- und Distributivgesetz anwenden (geschicktes Rechnen)";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;truefalse;-3.67;"0.63";;MA.v1.A03-05;"Ma-A03: Assoziativ-, Kommutativ- und Distributivgesetz anwenden (geschicktes Rechnen)";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;truefalse;-3.58;"0.65";;MA.v1.A03-06;"Ma-A03: Assoziativ-, Kommutativ- und Distributivgesetz anwenden (geschicktes Rechnen)";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;multianswer;-3.48;"0.68";;MA.v1.A03-07;"Ma-A03: Assoziativ-, Kommutativ- und Distributivgesetz anwenden (geschicktes Rechnen)";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;truefalse;-2.33;1.35;;MA.v1.A03-09;"Ma-A03: Assoziativ-, Kommutativ- und Distributivgesetz anwenden (geschicktes Rechnen)";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
"0";4;raschbirnbaum;truefalse;-2.12;"5.00";;MA.v1.A03-10;"Ma-A03: Assoziativ-, Kommutativ- und Distributivgesetz anwenden (geschicktes Rechnen)";ALiSe Mathematik|Ma-A: Grundlegende Konzepte und Operatoren beim Rechnen;question;
